职位名称,职位标签,工作地区,薪资,公司名称,公司规模,工作类型
采矿工程师,"['2年', '本科']",成都·成华区,4.6-9.2千,四川华投工程技术咨询有限公司,少于50人,采掘业/冶炼
采矿工程师,"['无需经验', '本科', '五险一金', '免费班车', '餐饮补贴', '年终奖金', '补充医疗保险', '补充公积金', '定期体检']",黄冈,6千-1.2万,湖北致真科技有限公司,少于50人,计算机软件
采矿工程师（临沧矿业）,"['3-4年', '大专', '采矿', '物探', '选矿', '年终奖金', '食宿双包', '社会保险']",临沧,11-15万/年,云南同德实业集团有限公司,500-1000人,多元化业务集团公司
采矿工程师,"['无需经验', '本科', '采矿', '采矿工程', '一级建造师证', '矿山生产', '采矿技术管理', '矿山开采设计', '工程设计', '采矿设计', '开采系统管理', '矿区规划']",武汉·东湖新技术产业开发区,8千-1万,武汉开圣科技有限责任公司,50-150人,石油/化工/矿产/地质
采矿技术员,"['2年', '大专', '采矿', '带薪年假', '五险一金', '包住宿', '节日福利', '高温补贴', '餐饮补贴', '绩效奖金', '配套设施完善', '上市公司']",北海,5.5-6.5千,信义玻璃控股有限公司,10000人以上,建筑/建材/工程
采矿技术员,"['3-4年', '本科', '五险一金', '年终奖金', '定期体检', '绩效奖金']",宜春,8千-1.5万·13薪,江西永兴特钢新能源科技有限公司,500-1000人,新能源
采矿技术员,"['无需经验', '大专', '机械', '数学', '监测', '采矿', '选矿', '采矿计划', '员工食堂', '住宿', '五险一金', '绩效奖金', '节日福利', '专业培训', '餐饮补贴', '年薪']",黔南,5-7千,贵州胜威福全化工有限公司,500-1000人,石油/化工/矿产/地质
采矿技术员,"['3-4年', '大专', '采矿', '矿山', '采矿技术', '五险一金', '交通补贴', '免费班车', '定期体检', '双休', '集中休假', '免费住宿']",凉山,9千-1.3万,雷波凯瑞磷化工有限责任公司,1000-5000人,石油/化工/矿产/地质
采矿技术岗-龙岩水泥,"['无需经验', '本科', '技术指导', '制图软件', '测量仪器', '现场生产', '采矿', '开采计划', '采矿计划', '爆破设计', '定位测量', '交通补贴', '餐饮补贴', '通讯补贴', '绩效奖金', '五险一金', '补充医疗保险', '定期体检']",龙岩,4-8千,华润水泥投资有限公司,10000人以上,建筑/建材/工程
采矿工程师,"['3-4年', '本科', '采矿', '五险一金', '弹性工作']",宜春,1-1.5万,国轩高科股份有限公司,10000人以上,新能源
采矿/选矿/地质工程师,"['无需经验', '大专', '地质工程', '采矿工程', '矿物加工', '资源勘查', '选矿工程', '五险一金', '年终奖金', '专业培训', '定期体检', '14天带薪年假']",赣州·崇义县,6.5-8千,崇义章源钨业股份有限公司,1000-5000人,采掘业/冶炼
采矿技术员,"['3-4年', '大专', '采矿', '矿山', '采矿技术', '五险一金', '交通补贴', '免费班车', '定期体检', '双休', '集中休假', '免费住宿']",凉山,9千-1.3万,雷波凯瑞磷化工有限责任公司,1000-5000人,石油/化工/矿产/地质
采矿、选矿、地质工程师,"['3-4年', '本科', '地质工程', '采矿工程', '选矿工程', '矿物加工工程', '五险一金', '交通补贴', '绩效奖金', '年终奖金', '专业培训', '双休', '餐饮补贴']",赣州·章贡区,5千-1万·13薪,中衍高新材料（江西）有限公司,50-150人,原材料和加工
采矿工程师,"['3-4年', '本科', '五险一金', '免费班车', '员工旅游', '通讯补贴', '定期体检', '交通补贴', '包住宿', '带薪年假']",凉山,1.2-1.5万,雷波凯瑞磷化工有限责任公司,500-1000人,石油/化工/矿产/地质
地质、采矿、勘察、物探工程师,"['3-4年', '本科', '地质工程师', '勘察工程师', '岩土工程', '采矿', '测量工程', '冲击地压', '岩爆', '煤矿', '工程地质', '采矿工程', '五险一金', '绩效奖金', '年终奖金', '专业培训', '节日福利', '出差补贴']",武汉·东湖新技术产业开发区,6千-1.2万,湖北海震科创技术有限公司,少于50人,电子技术/半导体/集成电路
采矿工程师,"['2年', '大专', '周末双休', '带薪年假', '五险一金', '免费班车', '绩效奖金', '节日福利', '专业培训', '高温补贴']",广州·白云区,6-8千·13薪,广州市越德企业管理咨询有限公司,500-1000人,建筑/建材/工程
机电、测量、采矿、地质专业,"['3-4年', '中技/中专', '机电', '测量', '采矿', '地质', '包吃住']",台州·路桥区,6千-1万,浙江恒鹏建设有限公司,500-1000人,建筑/建材/工程
